epoch,train_loss,train_accuracy,val_loss,val_top1,val_top5,learning_rate
1,2.6122066246671993,36.02493582691603,2.216053165901612,44.14521452145215,73.42574257425743,0.0003
2,2.078381333102837,47.14631463146315,2.0310850410650274,48.67326732673267,76.46204620462046,0.0002991810233575568
3,1.8741681260646461,52.21268793546021,1.8297986568476108,53.54455445544554,79.84158415841584,0.0002967330663097039
4,1.7321311467079439,55.35166850018335,1.6812624699683867,56.554455445544555,82.74587458745874,0.0002926829491861254
5,1.625126039297274,57.76457645764577,1.6021221670459207,59.03630363036304,83.2871287128713,0.00028707504591756876
6,1.5285678279045785,60.12027869453612,1.5631527058755603,60.33003300330033,84.42244224422443,0.00027997079786577355
7,1.4632380895716042,61.64869820315365,1.4927182713278844,61.399339933993396,85.14851485148515,0.0002714480406590546
8,1.383702509404103,63.73303997066373,1.4277294800698561,63.16831683168317,86.00660066006601,0.0002616001514088704
9,1.3229515221340122,64.78181151448479,1.4390934911419455,63.32673267326733,85.83498349834983,0.0002505350256506492
10,1.265414072551874,66.38943894389439,1.351138596692101,65.47854785478548,87.33993399339934,0.00023837389521772463
11,1.2123155044643792,67.74624129079575,1.3105481509879084,66.37623762376238,87.85478547854785,0.00022524999999999992
12,1.1499959417328451,69.21305463879722,1.3026667448868452,66.57425742574257,87.92079207920793,0.0002113071281398321
13,1.09868066468954,70.48478181151448,1.2449528932571412,68.27722772277228,88.51485148514851,0.00019669804065905458
14,1.054010795508281,71.22845617895123,1.259101023563851,67.92079207920793,88.38283828382838,0.00018158279777725494
15,1.0032959444495755,72.8052805280528,1.2497347862728359,67.96039603960396,88.54125412541254,0.00016612700525851415
16,0.9587911130221807,73.91712504583792,1.2171452643926388,69.05610561056106,88.6996699669967,0.0001505
17,0.918469103042748,74.8998899889989,1.206675552424818,69.70297029702971,89.53135313531354,0.0001348729947414858
18,0.8740705606864843,76.14228089475614,1.1724740217227747,70.66666666666667,89.70297029702971,0.00011941720222274492
19,0.8366083279126373,77.08837550421708,1.1665937270740472,70.54785478547855,89.94059405940594,0.00010430195934094534
20,0.8015857175002397,78.03447011367804,1.148675669175957,71.04950495049505,89.91419141914191,8.969287186016786e-05
21,0.766165549568873,79.03043637697102,1.1375000718403177,71.45874587458746,90.3102310231023,7.575000000000001e-05
22,0.7397758751296717,79.62742940960763,1.1195589922127551,71.81518151815182,90.17821782178218,6.262610478227527e-05
23,0.7101739962563481,80.55592225889255,1.1119107508423305,72.35643564356435,90.4950495049505,5.046497434935074e-05
24,0.6855851873680048,81.05023835716905,1.1074716587979407,72.06600660066006,90.67986798679868,3.939984859112959e-05
25,0.6665192270847219,81.64723138980565,1.098403710720956,72.55445544554455,90.50825082508251,2.9551959340945373e-05
26,0.6489761959286806,82.13861386138613,1.0978413779664749,72.67326732673267,90.64026402640265,2.1029202134226415e-05
27,0.6345441919541158,82.65639897323065,1.0946668033631328,72.99009900990099,90.58745874587459,1.3924954082431155e-05
28,0.6305517747142527,82.61386138613861,1.0945581340002934,72.77887788778878,90.67986798679868,8.317050813874547e-06
29,0.6220994389927077,82.996699669967,1.0902960921120721,73.02970297029702,90.56105610561056,4.26693369029605e-06
