epoch,train_loss,train_accuracy,val_loss,val_top1,val_top5,learning_rate
1,4.216215570605103,7.174184085075174,3.9448440688356707,11.102310231023102,31.326732673267326,0.0003
2,3.7336306065082723,14.085808580858085,3.67849853909055,16.462046204620464,41.84818481848185,0.0002991810233575568
3,3.3786228350487915,20.291895856252292,3.1822505294686496,24.40924092409241,51.81518151815182,0.0002967330663097039
4,3.032854550595593,27.036303630363037,2.923180773675245,29.702970297029704,59.12871287128713,0.0002926829491861254
5,2.734084851887797,33.306930693069305,2.8481192267767272,34.666666666666664,61.92739273927393,0.00028707504591756876
6,2.4882568756756784,38.43931059772644,2.7057046636575124,39.537953795379536,66.57425742574257,0.00027997079786577355
7,2.295604522842866,42.53025302530253,2.2311300591824472,44.303630363036305,72.42244224422443,0.0002714480406590546
8,2.130681044134763,46.4026402640264,2.4064446833582207,42.07260726072607,69.63696369636963,0.0002616001514088704
9,1.9800799500710544,49.92152548588192,2.079629247463969,48.81848184818482,75.55115511551155,0.0002505350256506492
10,1.8573772499733545,52.705537220388706,1.8149040784300752,54.97029702970297,79.84158415841584,0.00023837389521772463
11,1.7443778279958122,55.21232123212321,1.815335241324044,54.15181518151815,80.44884488448845,0.00022524999999999992
12,1.6429179366709419,57.53868720205354,1.7717376750530582,56.1056105610561,80.93729372937294,0.0002113071281398321
13,1.5494131048459205,59.583425009167584,1.5995739008333816,59.12871287128713,83.43234323432343,0.00019669804065905458
14,1.4746281640679135,61.43454345434544,1.5436174948538097,61.01650165016502,84.33003300330033,0.00018158279777725494
15,1.3956821008999793,63.43087642097543,1.5859154297888476,60.01320132013201,83.53795379537954,0.00016612700525851415
16,1.323255298913159,65.13971397139714,1.43031088567803,63.973597359735976,85.87458745874588,0.0001505
17,1.2547234234776652,66.66373303997067,1.4602506943976525,63.973597359735976,85.54455445544555,0.0001348729947414858
18,1.1812704775453182,68.44297763109644,1.4097505808348703,64.75247524752476,86.52145214521452,0.00011941720222274492
19,1.1272858407360142,69.74697469746975,1.3613150889645316,65.88778877887789,87.1023102310231,0.00010430195934094534
20,1.0654526663141282,71.28126145947928,1.3345779872019299,66.65346534653466,87.33993399339934,8.969287186016786e-05
21,1.0057057525318622,72.59112577924459,1.3059234100599888,67.43234323432343,87.64356435643565,7.575000000000001e-05
22,0.956562279628492,73.98899889988999,1.2809133021194157,67.56435643564356,88.52805280528052,6.262610478227527e-05
23,0.9150690323142809,74.94976164283095,1.2621528634301113,68.3036303630363,88.62046204620462,5.046497434935074e-05
24,0.8615340683527556,76.18628529519619,1.2538932940668792,69.04290429042905,88.42244224422443,3.939984859112959e-05
25,0.8288591289249234,77.28346167950129,1.2418353266448472,69.38613861386139,88.76567656765677,2.9551959340945373e-05
26,0.7952956509126776,78.22368903557022,1.2275606631445806,69.6897689768977,89.24092409240924,2.1029202134226415e-05
27,0.7732190725433551,78.95416208287496,1.2319012659060287,69.58415841584159,88.95049504950495,1.3924954082431155e-05
28,0.7551784008542478,79.41767510084341,1.2265635463034752,69.65016501650165,89.14851485148515,8.317050813874547e-06
29,0.7409217718987837,79.48221488815548,1.234386862591155,69.9009900990099,89.13531353135313,4.26693369029605e-06
